Year,Number of producers of primarily amount of waste,Amount of waste handed over to disposal companies within the state (t),Amount of waste handed over to disposal companies in other federal states (t),Overall amount of waste handed over to waste disposal companies (t)
Baden-Württemberg,3307,952796,464080,1416876
Bayern,4324,1709101,474278,2183379
Berlin,609,208243,380287,588530
Brandenburg,652,470360,289992,760352
Bremen,310,99969,101004,200973
Hamburg,475,250984,222880,473865
Hessen,1296,544979,617528,1162506
Mecklenburg-Vorpommern,515,153639,52252,205892
Niedersachsen,2273,827492,692439,1519932
Nordrhein-Westfalen,5892,3939060,550547,4489606
Rheinland-Pfalz,1428,947730,448353,1396083
Saarland,358,159941,96485,256425
Sachsen,1110,933075,484569,1417644
Sachsen-Anhalt,630,454065,366687,820752
Schleswig-Holstein,727,168525,174806,343331
Thüringen,641,279296,386706,666002
Insgesamt,24547,12099252,5802897,17902148
Baden-Württemberg,3378,1042423,415889,1458312
Bayern,4129,1149705,265508,1415213
Berlin,585,210925,310053,520978
Brandenburg,646,402478,297249,699727
Bremen,292,116630,99222,215852
Hamburg,503,205714,319577,525291
Hessen,1216,604423,726285,1330708
Mecklenburg-Vorpommern,534,162792,59271,222063
Niedersachsen,2331,873104,710999,1584103
Nordrhein-Westfalen,6080,4353403,537376,4890780
Rheinland-Pfalz,1484,719378,509970,1229348
Saarland,387,142939,80256,223195
Sachsen,1076,677906,298103,976009
Sachsen-Anhalt,602,438089,327438,765527
Schleswig-Holstein,786,194917,194285,389201
Thüringen,653,269937,380142,650078
Insgesamt,24682,11564763,5531623,17096385
Baden-Württemberg,3276,1033394,511642,1545036
Bayern,3797,784154,261766,1045920
Berlin,629,309454,268491,577945
Brandenburg,682,324887,197224,522111
Bremen,318,99260,99429,198690
Hamburg,509,220787,240749,461536
Hessen,1578,575767,759953,1335720
Mecklenburg-Vorpommern,506,191130,61275,252405
Niedersachsen,2275,1024727,663212,1687940
Nordrhein-Westfalen,6091,4499000,556409,5055409
Rheinland-Pfalz,1485,782871,402991,1185862
Saarland,367,161976,118595,280571
Sachsen,1122,679149,273344,952493
Sachsen-Anhalt,653,348019,272103,620121
Schleswig-Holstein,728,225782,196173,421954
Thüringen,688,171051,351759,522810
Insgesamt,24704,11431408,5235114,16666523
Baden-Württemberg,3271,1075582,642846,1718428
Bayern,3927,1000204,290651,1290855
Berlin,634,265346,289078,554424
Brandenburg,741,332134,260281,592415
Bremen,301,107550,102360,209910
Hamburg,516,215535,197183,412719
Hessen,1611,589509,784817,1374327
Mecklenburg-Vorpommern,482,132608,59153,191760
Niedersachsen,2302,1084514,776667,1861181
Nordrhein-Westfalen,5998,4050139,681026,4731165
Rheinland-Pfalz,1558,839771,396204,1235974
Saarland,345,180384,90996,271380
Sachsen,1127,669556,353085,1022641
Sachsen-Anhalt,657,455162,313646,768809
Schleswig-Holstein,685,252854,230915,483769
Thüringen,694,206058,443482,649540
Insgesamt,24849,11456907,5912390,17369297
